127.0.0.1 - - [17/Jun/2023:15:36:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:06 +0530] "GET /organDonateManagementSystem/user/assets/css/animate.css HTTP/1.1" 200 60283
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/css/icofont.min.css HTTP/1.1" 200 92208
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/css/bootstrap.min.css HTTP/1.1" 200 141718
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/css/style.css HTTP/1.1" 200 181940
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/css/swiper.min.css HTTP/1.1" 200 19778
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/css/hc-offcanvas-nav.css HTTP/1.1" 200 16707
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/images/header/3.png HTTP/1.1" 200 3537
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/images/logo/logo.png HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/images/header/2.png HTTP/1.1" 200 3741
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/images/header/1.png HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:07 +0530] "GET /organDonateManagementSystem/user/assets/images/logo/logo3.png HTTP/1.1" 200 28416
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:08 +0530] "GET /organDonateManagementSystem/user/assets/images/banner/1.jpg HTTP/1.1" 200 89842
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:08 +0530] "GET /organDonateManagementSystem/user/assets/css/fonts/icofont.woff2 HTTP/1.1" 200 537868
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/banner/1.png HTTP/1.1" 200 60482
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/banner/2.png HTTP/1.1" 200 58877
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/banner/3.png HTTP/1.1" 200 55447
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/index.jsp HTTP/1.1" 200 37893
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/feature/3.png HTTP/1.1" 200 4825
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/feature/2.png HTTP/1.1" 200 3943
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/feature/4.png HTTP/1.1" 200 4779
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/feature/1.png HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/counter/01.png HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/counter/02.png HTTP/1.1" 200 2010
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/counter/03.png HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/counter/04.png HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/team/01.jpg HTTP/1.1" 200 12336
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/team/02.jpg HTTP/1.1" 200 12547
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/team/03.jpg HTTP/1.1" 200 10475
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:11 +0530] "GET /organDonateManagementSystem/user/assets/images/team/04.jpg HTTP/1.1" 200 12887
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:12 +0530] "GET /organDonateManagementSystem/user/assets/js/jquery.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:12 +0530] "GET /organDonateManagementSystem/user/assets/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:12 +0530] "GET /organDonateManagementSystem/user/assets/images/blog/2.jpg HTTP/1.1" 200 21999
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:12 +0530] "GET /organDonateManagementSystem/user/assets/images/blog/1.jpg HTTP/1.1" 200 24827
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:12 +0530] "GET /organDonateManagementSystem/user/assets/images/blog/3.jpg HTTP/1.1" 200 23514
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:12 +0530] "GET /organDonateManagementSystem/user/assets/js/waypoints.min.js HTTP/1.1" 200 8839
0:0:0:0:0:0:0:1 - - [17/Jun/2023:15:37:12 +0530] "GET /organDonateManagementSystem/user/assets/js/swiper.min.js HTTP/1.1" 200 127934
